评分,用户,评论详情,日期,IP位置
4分 满意,游侠半仙,携程旅行网上参加贵州贵阳＋黄果树＋梵净山＋荔波＋西江千户苗寨＋镇远6日5晚跟团游。最后入住贵阳，下午航班，上午贵阳市内半日自由行，专程来全国重点文物保护单位文昌阁，没有想到文昌阁属博物馆、星期一要闭馆，只有外观打卡，遗憾离开。,2024-05-28,IP属地：四川
4分 满意,心灵宫殿,"一座城，有着自己的故事；一座城，承载着些许记忆，历史街区、遗址、老字号、名人故居......它们纵向记忆着城市的历史脉铬与传承，横向展示着城市宽广深厚的阅历，并在纵横交错问道出城市独有的特性。

行走在人潮拥挤的贵阳街头，穿梭于弄堂小卷，只为寻找那历史的痕迹。作为一座快速发展的城市，每一天，贵阳都有崭新的变化。这个过程里，许多见证贵阳从无到有的老建筑，一点点被现代化抹去了痕迹。屹立于老东门月城上的文昌阁，是少有保存至今的“老记忆”。

俗话说：没走遍“九门”、“四阁”，讲不出“十八个狮子对面笑”、“过桥不见桥”、“过庙不见庙”，就不够称为“老贵阳人”。

作为仅有保存完好的文昌阁，始建于明万历三十七年（1609年），距今四百多年。它位于贵阳老东门遗址内，不用进到阁里，就能被高大威严的武胜门城墙吸引视线。粗糙的古城墙砖，错落有致地堆砌成墙；缝隙处经过多年雨水冲刷，长出了碧绿的青苔，让铜墙铁壁般的城墙多了份古旧沧桑；城墙另一头，还有日晷和老东门遗址的牌子，诉说着这一门一阁的前世今生。

穿过正门，这座承载几百年历史的古老建筑，正式出现在眼前。主体建筑文昌阁楼，造型别致，结构奇特，高踞东门月城上，飞檐翘角，雄奇华丽。文昌阁之能成为全国重点文物保护单位，是因其建筑独特，其结构为三层三檐九角不等角攒尖顶阁，在国内可属唯一。
      
百年岁月倏忽过境，文昌阁始终保持着缄默，静观筑城发展，是繁华闹市中一片难得的静土！

旅游小贴士：
文昌阁
1，文昌阁地址：贵州省贵阳市南明区文昌街29号。
2，文昌阁交通：
交通指南：乘4、5、12、21、路公交车到省医或东门下，步行即至；或乘54、64路公交车到东新路站下，步行即到；可乘22、24、25、35路公交车到莲花坡站下，步行即到。
3，游玩建议：
文昌阁距离甲秀楼翠微园景区不远，参观过甲秀楼翠微园以后，可以沿着道路前行到文昌阁，一同顺路参观。
4，美食指南：
文昌阁里有文昌茶苑，很适合白天喝茶，人均消费25元左右。一定要尝尝文昌阁周边的美食，那些撩拨贵阳人的味蕾的小家伙，可都大名鼎鼎，如万家烫菜，杨婆婆烤肉、杨老五烤肉、小胖烤肉，冰粉、冰浆、绿豆汤等。文昌阁对面又多了一个美食城，铜锅洋芋饭、牛肉粉、奶茶、多多烤肉拌饭、干锅火锅、花甲粉……每一个吃货，都能在文昌阁撑爆自己的胃。",2021-01-30,IP属地：未知
4分 满意,qmxc,【景色】文昌阁，位于贵州省贵阳市老东门遗址，是一栋三层的宝塔形建筑。始建于一六零九年。原为供奉文昌帝君之所，因为国内的楼阁建筑角都以偶数为角，而文昌阁则为九个角，别具一格，是贵阳市与甲秀楼齐名的古建筑。值得参观。,2024-11-21,IP属地：陕西
4分 满意,大阿尔杰农先生,一般来说，文昌阁都是四角形、六角形、八角形，但贵阳文昌阁却是九角形楼阁，建筑风格奇特：文昌阁底层呈正方形，第二层和第三层是不等度数9个角；文昌阁共有81根梁、54根柱，都是9的倍数；二、三层的椤木，各为9根。“九”在易经里意味着至高无上，代表崇高的地位。,2018-10-22,IP属地：未知
4分 满意,老二连,"文昌阁，位于贵阳城区东隅，据万历《贵州通志》，阁始建于明万历二十四年(1596年)，占地1200平方米，以设计巧妙、结构独特而著名，是国家级重点文物保护单位。
文昌阁是中国一种传统祭祀建筑，许多地方都有修建，但各地文昌阁内所祀神只数目不一。一般来说，文昌阁都是四角形、六角形、八角形，但贵阳文昌阁却是九角形楼阁，建筑风格奇特:文昌阁底层呈正方形，第二层和第三层是不等度数9个角;文昌阁共有81根梁、54根柱，都是9的倍数;二、三层的椤木，各为9根。""九""在易经里意味着至高无上，代表崇高的地位。文昌阁坐落在贵阳城老东门的月城上，地势较高，登阁远眺，山川城郭尽收眼底，视野辽阔，是欣赏贵阳风景的好去处。",2022-09-11,IP属地：山东
5分 超棒,沃洛格达福康安,"一般来说，文昌阁都是四角形、六角形、八角形，但贵阳文昌阁却是九角形楼阁，建筑风格奇特：文昌阁底层呈正方形，第二层和第三层是不等度数9个角；文昌阁共有81根梁、54根柱，都是9的倍数；二、三层的椤木，各为9根。“九”在易经里意味着至高无上，代表崇高的地位。
考试前拜拜最好，心诚则灵",2018-06-19,IP属地：未知
5分 超棒,三湖彩云,"贵阳老城区，确有老味道，城堡上面溜达溜达还是很有意思的。文昌阁建筑古朴精致，飞檐挑角，拍照容易入镜。就是有点局促，周边比较拥挤，老城，扩大也难了……
【景色】",2020-10-25,IP属地：未知
5分 超棒,睡恣@M丶,文昌阁是中国一种传统祭祀建筑，许多地方都有修建，但各地文昌阁内所祀神祇数目不一。一般来说，文昌阁都是四角形、六角形、八角形，但贵阳文昌阁却是九角形楼阁，建筑风格奇特,2021-06-28,IP属地：未知
4分 满意,深夜食堂哥,"本来想来看看文昌阁的，可惜不知道什么原因，竟然没有开门。
古镇现在不是旅游旺季，所以很多地方会安排这个时间进行修缮，应该是这个原因。
不过古镇附近的其它地方还是可以值得好好逛一逛的，虽然说很多古镇都差不多的特色，但是一方水土养育一方人，还是可以多多了解一下的。",2020-01-09,IP属地：未知
5分 超棒,ROSE-VIOLET,文昌阁，许多地方都有修建，是中国一种传统祭祀建筑，贵阳文昌阁却是九角形楼阁，建筑风格奇特。“九”在易经里意味着至高无上，代表崇高的地位。文昌阁坐落在贵阳城老东门的月城上，地势较高，登阁远眺，山川城郭尽收眼底，视野辽阔，是欣赏贵阳风景的好去处。,2020-04-22,IP属地：未知
