评分,用户,评论详情,日期,IP位置
5分 超棒,鲲哥爱旅游,据记载，古代的镇远，地处历史上“五溪蛮”和“百越人”聚居的结合部。宋绍定元年（1226年），赐名镇远州，“镇远”这一名称从此沿用至今。镇远历史悠久，自秦昭王三十年（前277年）设县开始已有2280多年的历史，其元代清代为道、府所在地达700多年之久。,2024-06-11,IP属地：黑龙江
5分 超棒,西大人1,"人说镇远古城历史悠久、依山伴水景色美，去了就知道名不虚传。镇远古城位于贵州黔东南苗族侗族自治州镇远县的舞阳河畔，“九山抱一城，一水分府卫”，一水即舞阳河，为长江支流沅江的上游，以“S”形穿过镇远古城，北岸为旧府城，南岸为旧卫城，远观颇似太极图。镇远是黔东政治经济中心、交通枢纽和军事重镇，誉为“滇黔锁钥”“入黔咽喉”。
镇远古城为5A景区，进城免费，主要景点有：舞阳河风景、祝圣桥、府城垣遗址、青龙洞、石屏山、和平村、四官殿、天后宫等。
青龙洞位于镇远古城舞阳河畔，是建在中和山悬崖峭壁上的一片阁楼洞天，巨岩洞穴与阁楼交融，被誉为“入黔第一洞天”“中国三大悬空寺”“南方悬空寺”，是儒道佛三教合一的典范。
石屏山景区的大门就在祝圣桥北桥头，大门雕塑：缅人有象过桥来。镇远自古为西南丝路的水陆商埠。史记，元代以来，缅甸贡使多次往返于这条捷径。光绪二年(1876年)，镇远知府汪炳十璈上任伊始，亲眼目睹缅甸贡使的象队经过。于是，在祝圣桥的魁星阁上便有了“缅人骑象过桥来”的楹联。
镇远的古城墙、古码头、古巷民宅刻划着历史的印记，走进弯弯曲曲的古巷道里，你会发现民宅大门似乎有意不与巷道平行或垂直，而是有约45°的夹角，形成歪门邪道的样子；这就是镇远古城闻名全国的“歪门邪道”。
去镇远，必入“歪门邪道”，感悟古巷民宅的风水布局。我们沿顺城街走歪门邪道的路线是：祝圣桥→炎帝宫→博物馆→县府(府衙码头)→四方井巷(进入歪门邪道)→复兴巷→仁寿巷→新大桥→和平村旧址→新大桥下河边→河边漫步→祝圣桥。
最佳拍照点：我们发现 1.古镇与舞阳河畔的最佳欣赏拍摄点在青龙洞景区紫阳书院二楼或观音殿二楼；2.拍摄“S”形舞阳河穿过古城全景的最佳点在石屏山观景亭；3.欣赏拍摄青龙洞舞阳河水墨画的最佳点在祝圣桥边的大河关码头；4.白天赏景拍照去祝圣桥；5.欣赏夜景去新大桥。
乘游船：在禹门码头。这是古代专门为中第的秀才和举人所建的码头，见证了无数才子的荣耀。不过，古城较小，从新大桥到祝圣桥徒步舞阳河畔更惬意。建议在永安北码头体验一下人工划桨的过河船，1元/人，随时起航。
交通：我们从重庆去镇远。从重庆西站乘动车在贵阳北换乘高铁到三穗，打出租(150元)到古城民宿。返程不需换乘，三穗动车直达重庆西站。
住宿：古镇住宿不贵，建议住祝圣桥附近，我们携程预订“龙隐溪居”，一线江景房不到200元/天。
美食：去镇远古城",2024-12-10,IP属地：重庆
5分 超棒,大胖儿0401,"镇远古镇，坐落在群山之间，舞阳河畔。
小巷狭长幽深，错综复杂却四通八达。
巷子里藏着小小的博物馆、纪念馆、酒坊店，还有令人惊叹的古民居。你能体会到江南民居和山地的完美结合。
漫步小巷中，故事在眼前闪过，时间在岁月中流淌。
这里适合慢游，适合放松发呆，适合舌尖上流口水的馋嘴们。
来吧，街头巷尾走一走，河边餐桌酸汤鱼。
最惬意的的旅行就是心灵和味觉的碰撞。",2025-06-01,IP属地：北京
5分 超棒,苹野鸣秋,在山重水复的贵州腹地，在昔日湖广入滇的驿道上，生长着这样一座古城，它是滇楚锁钥、黔东门户，它曾肩负拱卫中原、镇守远方的重任。数百年间，不同族群的文化在这里相逢，最终化为古城的一楼一阁、一砖一瓦……,2024-11-22,IP属地：江苏
5分 超棒,游侠半仙,"贵阳参团贵州旅游、携程旅行网贵州贵阳＋黄果树+梵净山＋荔波＋西江千户苗寨＋镇远6日5晚跟团游。走进镇远古城，打卡全国重点文物保护单位镇远府城垣，
镇远府城垣位于湃阳河南岸，明洪武年间设镇远卫指挥使司，洪式二十二年（1389年）建卫城
。比贵州建省还早24年。城垣由西至东沿舜阳
河跨五老山蜿蜒起伏圈围。原有东南西三处瓷城，垣体总长5000余米，垣体高低4-8米不等，垣体宽2.8米。城垣外沿筑有单边垛口1872个，炮台九处，水门2处。分别修建止洪水冲击垣体，分别修建三处护城堤，”形成防御、防洪完整体系。现存的东至西门一段约长1500米仍保存完好。已被列为国家重点文物保护单位。
镇远古城，位于贵州省东部武陵山脉阳河畔。北岸为府城，南岸为卫城，阳河水以“S”形穿城而过，远观颇似太极图。为中国历史文化名城，文治武功相得益彰，自古为黔东重镇，素有“滇楚锁
钥，湘黔门户”之称。其历史悠久，文化积淀重，
2000多年历史中，设州、府、道等衙门就有近
1000年。镇远古城山环水抱，风景迷人，人文景观众多。2020年1月7日，被文化和旅游部评定为国家AAAAA级旅游景区。",2025-05-03,IP属地：中国香港
5分 超棒,游侠半仙,"贵阳参团贵州旅游、携程旅行网贵州贵阳＋黄果树+梵净山＋荔波＋西江千户苗寨＋镇远6日5晚跟团游。走进镇远古镇。

镇远古城，位于贵州省东部武陵山脉阳河畔。北岸为府城，南岸为卫城，阳河水以“S”形穿城而过，远观颇似太极图。为中国历史文化名城，文治武功相得益彰，自古为黔东重镇，素有“滇楚锁
钥，湘黔门户”之称。其历史悠久，文化积淀重，
2000多年历史中，设州、府、道等衙门就有近
1000年。镇远古城山环水抱，风景迷人，人文景观众多。2020年1月7日，被文化和旅游部评定为国家AAAAA级旅游景区。",2025-05-02,IP属地：西班牙
5分 超棒,游侠半仙,"贵阳参团贵州旅游、携程旅行网贵州贵阳＋黄果树+梵净山＋荔波＋西江千户苗寨＋镇远6日5晚跟团游。来到镇远古城，从镇远古镇游客中心，徒步经过四方井巷、府衙码头、镇远县人民政府、镇远博物馆、文庙遗址。在阳河岸边听导游讲解，然后自由活动。
镇远古城，位于贵州省东部武陵山脉阳河畔。北岸为府城，南岸为卫城，阳河水以“S”形穿城而
过，远观颇似太极图。为中国历史文化名城，文治武功相得益彰，自古为黔东重镇，素有“滇楚锁钥，湘黔门户”之称。其历史悠久，文化积淀重，2000多年历史中，设州、府、道等衙门就有近1000年。镇远古城山环水抱，风景迷人，人文景观众多。2020年1月7日，被文化和旅游部评定
为国家AAAAA级旅游景区。
【景色】国家历史文化名城
【趣味】历史老街巷
【性价比】高",2025-04-02,IP属地：四川
5分 超棒,楼上的老太婆,非常非常推荐。古镇很大，建筑风格兼具徽派建筑和山西民居，这是由于古镇人口经历过两次大迁徙而形成的，很有特色。古镇里可以通车，所以感觉街道上比较乱，人车混杂。我是冬天去的，很冷，民宿里还不提供电热毯，晚上没有睡好。据说因处盆地，四面环山，这里的夏季比较热。古镇里物价感人，吃了豆腐烤鱼，尝了米酒，两个人一百多一点点。这里景色迷人，夜晚的水边灯火通明，恍若隔世，古建筑林立，尤其是祝圣桥附近，让人流连忘返。我的时间没安排好，只停留一天，祝圣桥另一侧的古建筑群没进去，太遗憾了😔,2025-03-24,IP属地：北京
5分 超棒,M52****8066,最爱清晨的镇远，隐约的鸡鸣和阵阵的火车鸣笛声。住在舞阳河畔的房间可以看着太阳升起，宁静的小镇慢慢变得喧闹，伴着河岸徐徐凉风，整个人都的身心都能得到释放！,2024-07-22,IP属地：陕西
4分 满意,老团张,景色没得说，古城该保留的都保留了。对摄影爱好者很友好。尤其是夜景，江景民宿，舞阳河两边就要严格控制噪音。不能鱼和熊掌兼得，临江房间一点前基本睡不着。尽管民宿态度和服务还是跟得上，但是最重要的休息是最差的了，而且两岸民宿还不便宜，真的还不如住远一点，便宜又安静。差价租个电动车来古城绰绰有余。吃的话，南岸热闹。总之，玩可以，吃也还行，推荐老巷子豆花烤鱼,2024-08-08,IP属地：贵州
